STATE,CITY,TIMEZONE,UTC-DIFFERENCE
AL,Abbeville,CST,"UTC - 6"
AL,Abel,CST,"UTC - 6"
AL,Acmar,CST,"UTC - 6"
AL,Adamsville,CST,"UTC - 6"
AL,Addison,CST,"UTC - 6"
AL,Adger,CST,"UTC - 6"
AL,Akron,CST,"UTC - 6"
AL,"Alabama Port",CST,"UTC - 6"
AL,Alabaster,CST,"UTC - 6"
AL,Alberta,CST,"UTC - 6"
AL,Albertville,CST,"UTC - 6"
AL,Alden,CST,"UTC - 6"
AL,"Alexander City",CST,"UTC - 6"
AL,Alexandria,CST,"UTC - 6"
AL,Aliceville,CST,"UTC - 6"
AL,Allen,CST,"UTC - 6"
AL,Allgood,CST,"UTC - 6"
AL,Alma,CST,"UTC - 6"
AL,Almond,CST,"UTC - 6"
AL,Alpine,CST,"UTC - 6"
AL,Alton,CST,"UTC - 6"
AL,Altoona,CST,"UTC - 6"
AL,Andalusia,CST,"UTC - 6"
AL,Anderson,CST,"UTC - 6"
AL,Annemanie,CST,"UTC - 6"
AL,Anniston,CST,"UTC - 6"
AL,Aquilla,CST,"UTC - 6"
AL,Arab,CST,"UTC - 6"
AL,Ardmore,CST,"UTC - 6"
AL,Ariton,CST,"UTC - 6"
AL,Arkadelphia,CST,"UTC - 6"
AL,Arley,CST,"UTC - 6"
AL,Arlington,CST,"UTC - 6"
AL,Armstrong,CST,"UTC - 6"
AL,Ashford,CST,"UTC - 6"
AL,Ashland,CST,"UTC - 6"
AL,Ashville,CST,"UTC - 6"
AL,Athens,CST,"UTC - 6"
AL,Atmore,CST,"UTC - 6"
AL,Attalla,CST,"UTC - 6"
AL,Atwood,CST,"UTC - 6"
AL,Auburn,CST,"UTC - 6"
AL,Autaugaville,CST,"UTC - 6"
AL,Avondale,CST,"UTC - 6"
AL,Axis,CST,"UTC - 6"
AL,Baileyton,CST,"UTC - 6"
AL,Bakerhill,CST,"UTC - 6"
AL,Banks,CST,"UTC - 6"
AL,Bankston,CST,"UTC - 6"
AL,Barfield,CST,"UTC - 6"
AL,Barlow,CST,"UTC - 6"
AL,Barney,CST,"UTC - 6"
AL,"Bassetts Creek",CST,"UTC - 6"
AL,"Battens Crossroads",CST,"UTC - 6"
AL,"Bay Minette",CST,"UTC - 6"
AL,"Bayou La Batre",CST,"UTC - 6"
AL,Bazemore,CST,"UTC - 6"
AL,"Bear Creek",CST,"UTC - 6"
AL,Beatrice,CST,"UTC - 6"
AL,Beaverton,CST,"UTC - 6"
AL,Belk,CST,"UTC - 6"
AL,"Bell Fountain",CST,"UTC - 6"
AL,Bellamy,CST,"UTC - 6"
AL,"Belle Mina",CST,"UTC - 6"
AL,Bellwood,CST,"UTC - 6"
AL,Benton,CST,"UTC - 6"
AL,Berry,CST,"UTC - 6"
AL,Bertha,CST,"UTC - 6"
AL,Bess,CST,"UTC - 6"
AL,Bessemer,CST,"UTC - 6"
AL,Bexar,CST,"UTC - 6"
AL,"Big Cove",CST,"UTC - 6"
AL,Bigbee,CST,"UTC - 6"
AL,Billingsley,CST,"UTC - 6"
AL,Birmingham,CST,"UTC - 6"
AL,Black,CST,"UTC - 6"
AL,"Bladon Springs",CST,"UTC - 6"
AL,Blossburg,CST,"UTC - 6"
AL,"Blount Springs",CST,"UTC - 6"
AL,Blountsville,CST,"UTC - 6"
AL,"Blue Mountain",CST,"UTC - 6"
AL,"Blue Springs",CST,"UTC - 6"
AL,Bluff,CST,"UTC - 6"
AL,"Bluff Park",CST,"UTC - 6"
AL,"Bluff Spring",CST,"UTC - 6"
AL,Boaz,CST,"UTC - 6"
AL,Boligee,CST,"UTC - 6"
AL,Bolinger,CST,"UTC - 6"
AL,Bolling,CST,"UTC - 6"
AL,"Bon Air",CST,"UTC - 6"
