STATE,CITY,STANDARD_TZ,DAYLIGHT_TZ,UTC_STANDARD,UTC_DAYLIGHT,START_DAYLIGHT,END_DAYLIGHT
AL,Abbeville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Abel,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Acmar,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Adamsville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Addison,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Adger,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Akron,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Alabama Port",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Alabaster,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Alberta,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Albertville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Alden,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Alexander City",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Alexandria,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Aliceville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Allen,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Allgood,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Alma,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Almond,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Alpine,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Alton,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Altoona,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Andalusia,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Anderson,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Annemanie,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Anniston,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Aquilla,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Arab,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Ardmore,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Ariton,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Arkadelphia,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Arley,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Arlington,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Armstrong,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Ashford,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Ashland,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Ashville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Athens,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Atmore,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Attalla,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Atwood,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Auburn,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Autaugaville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Avondale,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Axis,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Baileyton,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bakerhill,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Banks,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bankston,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Barfield,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Barlow,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Barney,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Bassetts Creek",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Battens Crossroads",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Bay Minette",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Bayou La Batre",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bazemore,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Bear Creek",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Beatrice,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Beaverton,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Belk,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Bell Fountain",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bellamy,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Belle Mina",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bellwood,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Benton,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Berry,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bertha,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bess,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bessemer,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bexar,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Big Cove",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bigbee,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Billingsley,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Birmingham,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Black,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Bladon Springs",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Blossburg,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Blount Springs",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Blountsville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Blue Mountain",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Blue Springs",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bluff,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Bluff Park",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Bluff Spring",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Boaz,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Boligee,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bolinger,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Bolling,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
