storeid,Vote,,,,,,,,
1423,Yes,,,,,,,,
4,Yes,,,,,,,,
8,Yes,,,,,,,,
10,Yes,,,,,,,,
24,Yes,,,,,,,,
33,Yes,,,,,,,,
39,Yes,,,,,,,,
54,Yes,,,,,,,,
59,Yes,,,,,,,,
70,Yes,,,,,,,,
99,Yes,,,,,,,,
116,Yes,,,,,,,,
121,Yes,,,,,,,,
122,Yes,,,,,,,,
124,Yes,,,,,,,,
126,Yes,,,,,,,,
140,Yes,,,,,,,,
145,Yes,,,,,,,,
157,Yes,,,,,,,,
169,Yes,,,,,,,,
174,Yes,,,,,,,,
178,Yes,,,,,,,,
180,Yes,,,,,,,,
186,Yes,,,,,,,,
194,Yes,,,,,,,,
201,Yes,,,,,,,,
202,Yes,,,,,,,,
205,Yes,,,,,,,,
210,Yes,,,,,,,,
214,Yes,,,,,,,,
217,Yes,,,,,,,,
225,Yes,,,,,,,,
227,Yes,,,,,,,,
231,Yes,,,,,,,,
239,Yes,,,,,,,,
240,Yes,,,,,,,,
243,Yes,,,,,,,,
245,Yes,,,,,,,,
249,Yes,,,,,,,,
261,Yes,,,,,,,,
265,Yes,,,,,,,,
272,Yes,,,,,,,,
274,Yes,,,,,,,,
282,Yes,,,,,,,,
287,Yes,,,,,,,,
288,Yes,,,,,,,,
291,Yes,,,,,,,,
294,Yes,,,,,,,,
297,Yes,,,,,,,,
298,Yes,,,,,,,,
303,Yes,,,,,,,,
309,Yes,,,,,,,,
316,Yes,,,,,,,,
327,Yes,,,,,,,,
332,Yes,,,,,,,,
334,Yes,,,,,,,,
338,Yes,,,,,,,,
340,Yes,,,,,,,,
346,Yes,,,,,,,,
347,Yes,,,,,,,,
353,Yes,,,,,,,,
359,Yes,,,,,,,,
365,Yes,,,,,,,,
373,Yes,,,,,,,,
384,Yes,,,,,,,,
394,Yes,,,,,,,,
395,Yes,,,,,,,,
396,Yes,,,,,,,,
407,Yes,,,,,,,,
413,Yes,,,,,,,,
414,Yes,,,,,,,,
430,Yes,,,,,,,,
435,Yes,,,,,,,,
437,Yes,,,,,,,,
440,Yes,,,,,,,,
446,Yes,,,,,,,,
451,Yes,,,,,,,,
476,Yes,,,,,,,,
479,Yes,,,,,,,,
483,Yes,,,,,,,,
490,Yes,,,,,,,,
495,Yes,,,,,,,,
512,Yes,,,,,,,,
515,Yes,,,,,,,,
524,Yes,,,,,,,,
528,Yes,,,,,,,,
529,Yes,,,,,,,,
530,Yes,,,,,,,,
538,Yes,,,,,,,,
539,Yes,,,,,,,,
550,Yes,,,,,,,,
553,Yes,,,,,,,,
555,Yes,,,,,,,,
556,Yes,,,,,,,,
571,Yes,,,,,,,,
581,Yes,,,,,,,,
593,Yes,,,,,,,,
611,Yes,,,,,,,,
622,Yes,,,,,,,,
625,Yes,,,,,,,,
639,Yes,,,,,,,,
642,Yes,,,,,,,,
645,Yes,,,,,,,,
689,Yes,,,,,,,,
695,Yes,,,,,,,,
