ShopNumber,Description,"MCHX Account Name","MCHX Campaign Name",PhysicalAddress1,PhysicalAddress2,PhysicalCity,"Physical StateProvinceTerritory",PhysicalPostalCode,LocationPhone1,"Tracking Number"
4,"Open-Generating Business",Meineke-Houston-4,"4-Organic Search","5809 SW Freeway",,Houston,TX,77057-7509,7136645155,7135819062
54,"Open-Generating Business",Meineke-Waterbury-54,"54-Organic Search","760 Wolcott Street",,Waterbury,CT,06705-1314,2037544139,2037217302
59,"Open-Generating Business",Meineke-Ronkonkoma-59,"59-Organic Search","458 Portion Road",,Ronkonkoma,NY,11779-4564,6319810600,6316157410
60,"Open-Generating Business",Meineke-Stamford-60,"60-Organic Search","967 East Main Street- U.S. 1",,Stamford,CT,6902,2033245522,2039980805
115,"Open-Generating Business",Meineke-Elizabeth-115,"115-Organic Search","130 Rahway Avenue",,Elizabeth,NJ,07202-2011,9082892126,9083168579
145,"Open-Generating Business",Meineke-Yonkers-145,"145-Organic Search","597 Central Park Avenue",,Yonkers,NY,10704,9149687269,9144106950
161,"Open-Generating Business",Meineke-Atlanta-161,"161-Organic Search","5364 Buford Highway",,Atlanta,GA,30340-1108,7704517065,7706761126
165,"Open-Generating Business","Meineke-West Hartford-165","165-Organic Search","1012 New Britain Ave.",,"West Hartford",CT,6110,8609531534,8609523009
186,"Open-Generating Business",Meineke-Brooklyn-186,"186-Organic Search","8914 Church Avenue",,Brooklyn,NY,11236-1005,7184982100,7188045445
207,"Open-Generating Business",Meineke-Philadelphia-207,"207-Organic Search","7600 Ridge Avenue",,Philadelphia,PA,19128-3138,2154871155,2159873557
210,"Open-Generating Business",Meineke-Houston-210,"210-Organic Search","11614 Jones Road",,Houston,TX,77070-5904,2818901061,2816718730
214,"Open-Generating Business","Meineke-South Toms River-214","214-Organic Search","350 State Highway 166",,"South Toms River",NJ,8757,7322440042,7326064690
226,"Open-Generating Business",Meineke-Chicago-226,"226-Organic Search","10716 South Western Avenue",,Chicago,IL,60643-3136,7737794300,7736723007
227,"Open-Generating Business",Meineke-Bristol-227,"227-Organic Search","555 Route 13",,Bristol,PA,19007,2157886370,2158740750
243,"Open-Generating Business",Meineke-Portland-243,"243-Organic Search","1155 Forest Avenue",,Portland,ME,04103-3325,2077975742,2073706149
258,"Open-Generating Business",Meineke-Riverhead-258,"258-Organic Search","1165 East Main Street",,Riverhead,NY,11901,6313690150,6314944744
327,"Open-Generating Business",Meineke-Ledgewood-327,"327-Organic Search","1365 Route 46",,Ledgewood,NJ,7852,9735847005,9736684546
337,"Open-Generating Business",Meineke-Columbus-337,"337-Organic Search","2740 Old Courtright Road",,Columbus,OH,43232,6148634711,6144346947
343,"Open-Generating Business",Meineke-Roslindale-343,"343-Organic Search","749 Hyde Park Avenue",,Roslindale,MA,02131-4736,6174693340,6175531076
355,"Open-Generating Business",Meineke-Madison-355,"355-Organic Search","1826 S. Stoughton Road",,Madison,WI,53716,6082443479,6084671442
365,"Open-Generating Business",Meineke-Salem-365,"365-Organic Search","462 Highland Avenue","Route 107",Salem,MA,1970,9787410335,9786664327
367,"Open-Generating Business",Meineke-Philadelphia-367,"367-Organic Search","7825 Ogontz Avenue",,Philadelphia,PA,19150-1407,2159249035,2159875350
369,"Open-Generating Business",Meineke-Seguin-369,"369-Organic Search","408 E. Court St.",,Seguin,TX,78155,8303729892,8303124803
374,"Open-Generating Business",Meineke-Raleigh-374,"374-Organic Search","3908 Western Boulevard",,Raleigh,NC,27606-1937,9198349245,9194808794
381,"Open-Generating Business",Meineke-Kingston-381,"381-Organic Search","716 Ulster Avenue",,Kingston,NY,12401-1710,8453394677,8457683645
395,"Open-Generating Business",Meineke-Omaha-395,"395-Organic Search","3322 Leavenworth",,Omaha,NE,68105-1916,4023426220,4026710944
435,"Open-Generating Business","Meineke-Silver Spring-435","435-Organic Search","8220 Georgia Avenue",,"Silver Spring",MD,20910-4519,3015888878,3019603853
490,"Open-Generating Business",Meineke-Katy-490,"490-Organic Search","1270 Rock Canyon Dr,","Suite G (Mason Road)",Katy,TX,77450-3870,2813925445,2813941773
